blogId,blogUrl,nickname,groupIds,groupNames,isInfluencer,influencerId,influencerUrl
"lionelcruz","https://blog.naver.com/lionelcruz","lionelcruz","2","06.투자","N","",""
"oliver8318","https://blog.naver.com/oliver8318","올리버","2","06.투자","N","",""
"ksmin3119","https://blog.naver.com/ksmin3119","양라민월드","2","06.투자","N","",""
"y23456789","https://blog.naver.com/y23456789","그루이캐비닛","2","06.투자","N","",""
"groom_ym","https://blog.naver.com/groom_ym","구름","2","06.투자","N","",""
"gsuf4525","https://blog.naver.com/gsuf4525","Kims","2","06.투자","N","",""
"furmea21","https://blog.naver.com/furmea21","드리머","2","06.투자","N","",""
"realmanreal","https://blog.naver.com/realmanreal","소소하게크게","17","05.Influncer","Y","soso","https://in.naver.com/soso"
"mosquitokwon","https://blog.naver.com/mosquitokwon","모기","2","06.투자","N","",""
"jh54552","https://blog.naver.com/jh54552","RedWood88","2","06.투자","N","",""
"shyman23","https://blog.naver.com/shyman23","페펠루","2","06.투자","N","",""
"changed_value","https://blog.naver.com/changed_value","DDPRAGUE","2","06.투자","N","",""
"chanveler","https://blog.naver.com/chanveler","챈블러","2","06.투자","N","",""
"godqpt12","https://blog.naver.com/godqpt12","바겐헌터","2","06.투자","N","",""
"nihil76","https://blog.naver.com/nihil76","nihil","2","06.투자","N","",""
"superantbaby","https://blog.naver.com/superantbaby","오로라","2","06.투자","N","",""
"dag0nrider","https://blog.naver.com/dag0nrider","DragonRider","2","06.투자","N","",""
"emp930204","https://blog.naver.com/emp930204","ㅇㅈ","2","06.투자","N","",""
"rkdakxl","https://blog.naver.com/rkdakxl","투자이너 JSK","17","05.Influncer","Y","too-signer","https://in.naver.com/too-signer"
"brandyou","https://blog.naver.com/brandyou","레오","2","06.투자","N","",""
"moonis777","https://blog.naver.com/moonis777","주고생","2","06.투자","N","",""
"aar3499","https://blog.naver.com/aar3499","머니그루브","2","06.투자","N","",""
"splds","https://blog.naver.com/splds","주클","3","09.해외투자","N","",""
"park11777","https://blog.naver.com/park11777","대승파파","2","06.투자","N","",""
